#OTU	Angel-ITS001-soil6-1_S1	Angel-ITS002-soil6-2_S2	Angel-ITS003-soil6-3_S3	Angel-ITS004-soil5-1_S4	Angel-ITS005-soil5-2_S5	Angel-ITS006-soil5-3_S6	Angel-ITS007-soil4-1_S7	Angel-ITS008-soil4-2_S8	Angel-ITS009-soil4-3_S9	Angel-ITS010-GA13_S10	Angel-ITS011-GA14_S11	Angel-ITS012-GA15_S12	Angel-ITS013-GA16_S13	Angel-ITS014-GB13_S14	Angel-ITS015-GB14_S15	Angel-ITS016-GB15_S16	Angel-ITS017-GB16_S17	Angel-ITS018-GK13_S18	Angel-ITS019-GK14_S19	Angel-ITS020-GK15_S20	Angel-ITS021-GK16_S21	Angel-ITS022-Extr-CTRL_S22	Angel-ITS023-Mock-Com_S23	Angel-ITS024-NTC_S24	Angel-ITS025-RA13_S25	Angel-ITS026-RA14_S26	Angel-ITS027-RA15_S27	Angel-ITS028-RA16_S28	Angel-ITS029-RB13_S29	Angel-ITS030-RB15_S30	Angel-ITS031-RK13_S31	Angel-ITS032-RK14_S32	Angel-ITS033-RK15_S33	Angel-ITS034-RK16_S34	Angel-ITS035-RB14_S35	Angel-ITS036-RB16_S36	Eva1-GK1_S13	Eva10-RK2_S22	Eva11-GB2_S23	Eva12-RB2_S24	Eva13-GA2_S25	Eva14-RA2_S26	Eva15-B1_S27	Eva16-GF_S28	Eva17-GK3_S29	Eva18-RK3_S30	Eva19-GB3_S31	Eva2-RK1_S14	Eva20-RB3_S32	Eva21-GA3_S33	Eva22-RA3_S34	Eva23-A1_S35	Eva24-NTC_S36	Eva25-GK4_S37	Eva26-RK4_S38	Eva27-GB4_S39	Eva28-RB4_S40	Eva29-GA4_S41	Eva3-GB1_S15	Eva30-RA4_S42	Eva4-RB1_S16	Eva5-GA1_S17	Eva6-RA1_S18	Eva7-K1_S19	Eva9-GK2_S21	Petrova001-GK1_S203	Petrova002-RK1_S204	Petrova003-GB5_S205	Petrova004-RB5_S206	Petrova005-GA5_S207	Petrova006-RA5_S208	Petrova007-K1-2-1_S209	Petrova008-blank-extr_S210	Petrova009-GB6_S211	Petrova010-RB6_S212	Petrova011-GA6_S213	Petrova012-RA6_S214	Petrova013-B1-2-1_S215	Petrova015-GK7_S217	Petrova016-RK7_S218	Petrova017-GB7_S219	Petrova018-RB7_S220	Petrova019-GA7_S221	Petrova020-RA7_S222	Petrova021-A1-2-1_S223	Petrova022-GK8_S224	Petrova023-RK8_S225	Petrova024-GB8_S226	Petrova025-RB8_S227	Petrova026-GA8_S228	Petrova027-RA8_S229	Petrova028-K1-1-2_S230	Petrova029-K1-2-2_S231	Petrova030-K1-1-1_S232	Petrova031-B1-1-2_S233	Petrova032-B1-2-2_S234	Petrova033-GF_S235	Petrova034-A1-1-2_S236	Roey001-GK5_S146	Roey002-GK10_S147	Roey003-RK5_S148	Roey004-RK6_S149	Roey005-RK9_S150	Roey006-RK10_S151	Roey007-RK11-GK11_S152	Roey008-RK12_S153	Roey009-GB9_S154	Roey010-GB10_S155	Roey011-GB11_S156	Roey012-GB12_S157	Roey013-RB9_S158	Roey014-RB10_S159	Roey015-RB11_S160	Roey016-RB12_S161	Roey017-GA9_S162	Roey018-GA10_S163	Roey019-GA11_S164	Roey020-GA12_S165	Roey021-RA9_S166	Roey022-RA10_S167	Roey023-RA11_S168	Roey024-RA12_S169	Roey025-K1-3-1_S170	Roey026-K1-3-2_S171	Roey027-K1-3-3_S172	Roey028-B1-3-1_S173	Roey029-B1-3-2_S174	Roey030-B1-3-3_S175	Roey031-A1-3-1_S176	Roey032-A1-3-2_S177	Roey033-A1-3-3_S178	Roey034-A1-2-2_S179	Roey037-Extr-CTRL_S182	Roey038-CTRL_S183
Seq_1	133	20	136	56	113	64	99	52	142	332	44	116	1	0	0	4	0	30	18	3	0	0	0	0	12	9	1	14	0	4	10	7	3	0	0	0	0	1874	21807	19385	39109	2771	917	16214	20539	9124	18336	16	868	44692	27521	2947	6102	3517	12587	16513	4830	36241	16163	21755	1849	21912	2399	0	5050	1343	198	4421	787	7299	76	49	5	4626	19	4446	69	26	3971	56	7141	381	3410	95	36	4744	318	3243	43	2392	86	11	19	65	26	26	158	61	3384	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	45	17	46	22	21	12	102	159	191	50	0	0
Seq_2	72	0	14	256	0	41	85	19	79	7	214	146	64	0	0	0	2	539	233	182	1	0	0	0	519	4016	15	833	0	0	2059	150	11	18	0	0	0	7222	5331	1859	2748	9540	257	5430	33488	7358	4694	9	125	4087	5495	602	2770	18367	13654	2647	690	5824	2295	9955	944	17432	6095	0	4843	2865	2001	83	8	316	1053	16	3	106	8	192	1194	0	4277	999	395	7	820	794	67	1326	793	0	111	3294	2110	36	370	77	0	0	67	42	2539	0	1683	508	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	84	276	0	0	0	58	60	36	40	0	0
Seq_3	338	150	116	102	68	31	238	47	58	0	3	8	0	0	0	0	0	15	1	1	0	0	0	0	104	88	1	68	0	0	74	0	0	0	0	7	0	2640	8307	6257	1605	3386	563	3273	5088	3653	5747	0	9168	2300	2916	932	1392	1227	2574	2230	2753	2258	2867	2761	3359	1830	5298	0	1266	880	376	35	25	134	31	0	0	276	35	25	18	2	125	0	74	114	86	21	0	58	0	45	62	114	15	338	57	188	194	105	20	98	337	0	67	7	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	129	37	76	85	19	13	108	110	79	178	0	0
Seq_4	758	0	295	833	3	1117	2512	0	1054	1014	6519	11004	359	0	0	0	0	1873	724	673	0	0	0	0	709	2000	515	2513	0	0	961	221	1018	4	0	13	0	293	471	179	228	141	497	433	2608	401	465	0	12	571	355	2222	190	1087	848	193	73	441	797	258	93	199	145	0	168	140	138	974	527	322	714	697	2	327	0	561	1604	0	960	1908	189	549	420	1769	455	3586	2458	3394	51	565	1076	857	384	1082	0	4	10	881	2664	0	563	800	625	19	0	54	0	0	0	0	0	25	1	0	15	0	8	0	988	73	190	107	728	232	397	453	120	186	1287	845	798	661	0	0
Seq_5	88	230	95	260	610	119	116	577	181	120	517	288	3787	5548	13548	11643	9538	524	6259	6134	1061	0	0	0	21	292	30	128	343	4	22	6	88	2	327	520	0	0	0	0	0	8	659	22	0	0	0	0	0	0	5	104	50	0	0	1	0	0	3	0	0	0	0	0	4	0	0	5	0	7	0	75	0	57	0	0	0	89	0	0	8	0	0	0	32	136	0	4	0	0	0	69	26	48	88	58	0	55	11	3483	0	0	109	94	1664	103	3312	2946	1457	2106	53	153	89	94	1607	991	1040	1537	23	0	27	106	149	38	85	245	216	302	107	81	76	66	0	0
Seq_6	1756	31	373	5755	52	3735	2323	14	2385	3211	1673	4298	2543	209	99	392	299	1216	1826	1548	206	0	0	0	1151	2501	2280	4126	516	13	829	1653	313	837	1304	408	0	14	2	4	2	14	887	156	6	13	0	0	6	0	14	2207	233	0	1	0	0	1	14	0	0	0	11	0	11	0	0	0	5	0	0	854	0	7	0	0	2	30	2	0	0	2	0	0	954	3	20	0	0	0	17	1654	778	891	72	59	0	969	0	263	0	0	647	96	524	171	120	83	0	6	128	180	69	17	1516	2147	794	670	1237	1673	1110	3330	2152	1182	1509	249	157	230	795	1526	1017	934	0	0
Seq_7	1212	3663	10345	1405	3762	1151	1164	4002	6861	20	3	0	11	0	0	16	10	4	0	0	0	0	0	0	64	61	92	124	19	4	0	48	0	5	44	117	0	68	30	72	13	47	5925	552	14	30	47	0	266	40	185	7674	788	0	16	16	22	0	64	10	13	6	36	0	43	0	3	3	15	4	30	339	0	4	11	27	18	325	1	0	6	7	21	65	790	0	0	16	12	7	17	391	262	408	1168	1036	0	2533	0	0	5	0	0	0	0	0	0	0	0	0	17	4	0	0	45	5	0	0	3	7	0	0	766	219	466	1972	1235	1049	2861	2501	2437	2709	0	0
Seq_8	103	878	1286	655	773	189	93	782	451	816	1260	1464	440	1579	584	1286	2068	106	102	95	5857	0	0	0	83	111	94	168	2232	20	0	30	158	17	1949	974	0	0	1	0	0	27	2255	74	0	7	3	0	3	0	35	464	131	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	152	0	0	0	1	0	0	70	0	0	5	0	0	0	267	29	56	446	361	0	136	0	1664	0	0	86	17	2623	82	3902	3413	1965	1764	895	1793	726	986	4981	1266	4332	4116	292	167	280	346	485	56	77	473	614	389	253	197	200	247	0	5
Seq_9	1606	78	183	3073	389	1186	2101	67	2565	2055	1124	2343	4801	604	91	259	858	739	1439	1385	205	0	0	0	2010	2003	1866	3742	1192	0	364	1444	313	636	1318	756	0	7	0	0	0	17	1241	141	0	9	7	0	6	0	21	1537	194	0	0	3	1	0	16	5	6	0	0	0	16	0	0	5	0	0	0	741	0	0	0	0	0	152	0	1	6	0	0	4	626	0	18	32	3	0	0	956	604	587	217	131	0	646	0	168	0	0	467	70	187	127	54	51	0	14	275	118	282	38	1025	1631	485	388	603	584	1138	982	1986	883	1487	380	330	264	595	685	694	829	0	0
Seq_10	56	0	16	298	7	4	45	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	221	4	242	2	0	357	2	0	4	2	2	0	6096	1741	2847	851	6261	157	2187	1030	4254	1588	0	2094	1589	3619	438	891	1619	2069	1346	1614	1282	1523	3892	6630	323	2265	0	759	242	1062	40	413	87	224	0	0	216	11	167	106	1	155	57	38	94	102	117	14	49	131	31	27	107	236	22	6	41	0	5	0	0	168	0	292	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	19	31	0	0	5	26	7	26	0	0	0
